Question	Category	Field
The sun is unique so how can it be seen everywhere on the earth?	Comprehension	Astronomy
Why do the stars and moon appear only at night?	Comprehension	Astronomy
What is the shape that we see inside the moon?	Comprehension	Astronomy
How many stars are in the sky?	Curiosity	Astronomy
Where will the star fall after its period is over?	Curiosity	Astronomy
How the world become? (i.e. How was the universe formed?)	Curiosity	Astronomy
So many universes are there so are there people on any other planet?	Curiosity	Astronomy
Is there anything to control a black hole?	Curiosity	Astronomy
Do aliens exist?	Curiosity	Astronomy
As we are on the Earth. Are there any other planets or Universes which contain human beings?	Curiosity	Astronomy
What is the end of the Universe?	Curiosity	Astronomy
What is meant by nitrification?	Comprehension	Biology
How do we get Nitrogen into our body? What is the use of it?	Comprehension	Biology
How are inorganic substances different from organic ones?	Comprehension	Biology
Where do petrol and diesel come from?	Comprehension	Geoscience
Why do all vehicles run only with petrol and diesel? Why not with coconut oil?	Comprehension	Chemistry
What is the difference between oil and water? Why can't we use oil instead of water?	Comprehension	Chemistry
How can we replace plastic with other things on the earth?	Comprehension	Chemistry
What are biodiversity hotspots?	Comprehension	Ecology
How to save our mother earth?	Comprehension	Ecology
Why humans are born and where Universe ends?	Curiosity	Astronomy
Which is the biggest animal in Ocean?	Comprehension	Zoology
Where we find diesel and petrol?	Comprehension	Geology
How Earth came into existence?	Curiosity	Astronomy
Why can't we see small dust particles?	Curiosity	Ecology
Why do ice cubes fall from the sky?	Comprehension	Ecology
What is the use of a black body in space?	Comprehension	Astronomy
Why the energy levels in an atom did start with letter 'K' not with letter 'A'?	Comprehension	Physics
Why do we get electrostatic force?	Comprehension	Physics
By rubbing the scale with hair how does electrostatic force appear?	Comprehension	Physics
Just now Bro said water has positive charge and the scale is negative and they are attracting. Then what is the charge of blood? Either positive or negative?	Comprehension	Physics
How does time work?	Curiosity	Physics
Which is the coldest place?	Comprehension	Ecology
Why do trees have different leaves?	Curiosity	Biology
Why do particular objects and organisms have particular shape and colour? (Repeat question from the same class)	Curiosity	Biology
Why don't all plants grow to the same height?	Curiosity	Biology
Why does oxygen come only if we have trees? Without trees can we get oxygen?	Curiosity	Ecology
Why do plants use CO2 for photosynthesis, why don't they use other gases?	Curiosity	Biology
All the leaves are green in colour. Mehndi (henna) tree also has green leaves. But we don't get red colour from other leaves whereas we get red colour from Mehndi leaves. Why?	Curiosity	Biology
If we pour milk to a plant will it grow better than if we pour water?	Curiosity	Biology
How is an embryo formed?	Comprehension	Biology
How does gametogenesis and embryo growth occur?	Comprehension	Biology
How many blood groups are there in animals like dog, cat and others? Is there any research for us to find it? Who does it?	Curiosity	Biology
If a mosquito sucks blood of group A, then does this change the blood group of the mosquito to bloodgroup A?	Curiosity	Biology
Why don't animals talk? 	Curiosity	Biology
We are similar to animals. But why do only animals eat leaves and we don't eat leaves?	Curiosity	Biology
Hen gives an egg. Was the egg born first or the hen?	Curiosity	Zoology
Why do only female mosquitos bite?	Curiosity	Biology
Why do children not get the same blood group as their parents?	Curiosity	Biology
How does bone marrow produce RBCs?	Comprehension	Biology
We know that bone is formed by the accumulation of sodium, Cl, potassium (??). How does bone form in the foetus in the mother's womb?	Comprehension	Biology
Why do our body organs not store oxygen?	Curiosity	Biology
